day,part,language,start_time,end_time,stars
1,3,python,1733097098,1733098014,2
2,1,python,1733161242,1733162006,1
2,2,python,1733163432,1733165378,1
3,3,python,1733266101,1733271472,2
4,1,python,1733339693,1733344158,1
4,2,python,1733345334,1733347323,1
5,1,python,1733432512,1733434110,1
5,2,python,1733435051,1733436481,1
6,1,python,1733525004,1733612079,1
6,2,python,1733612096,1733618015,1
7,1,python,1733686539,1733689749,1
7,2,python,1733690276,1733693278,1
8,1,python,1733694068,1733699437,1
8,2,python,1733700473,1733700854,1
9,1,python,1733952534,1733957031,1
9,2,python,1733958216,1734220910,1
10,1,python,1734304752,1734307760,1
10,2,python,1734307777
